date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2024-04-01,1.78,1.822,1.822,1.78,8830135.0,1596048944.79,2.38,3.05,0.054,7.51
2024-04-02,1.822,1.808,1.822,1.801,6401949.0,1158298114.724,1.15,-0.77,-0.014,5.44
2024-04-03,1.804,1.79,1.804,1.789,4609270.0,827315040.422,0.83,-1.0,-0.018,3.92
2024-04-08,1.785,1.758,1.789,1.756,5396913.0,955289218.836,1.84,-1.79,-0.032,4.59
2024-04-09,1.759,1.777,1.778,1.752,4864696.0,859278565.315,1.48,1.08,0.019,4.14
2024-04-10,1.774,1.739,1.774,1.731,9000053.0,1569964686.588,2.42,-2.14,-0.038,7.65
2024-04-11,1.725,1.731,1.752,1.725,7246190.0,1258500431.58,1.55,-0.46,-0.008,6.16
2024-04-12,1.73,1.713,1.74,1.711,7251324.0,1249364654.156,1.68,-1.04,-0.018,6.17
2024-04-15,1.712,1.746,1.757,1.712,11357926.0,1979130288.867,2.63,1.93,0.033,9.66
2024-04-16,1.74,1.713,1.742,1.709,7561462.0,1303733279.501,1.89,-1.89,-0.033,6.43
2024-04-17,1.718,1.747,1.748,1.718,6311060.0,1094935987.125,1.75,1.98,0.034,5.37
2024-04-18,1.739,1.738,1.759,1.717,7231806.0,1258117105.748,2.4,-0.52,-0.009,6.15
2024-04-19,1.725,1.705,1.728,1.692,8437475.0,1441227373.0,2.07,-1.9,-0.033,7.17
2024-04-22,1.695,1.703,1.718,1.687,5119593.0,872464901.952,1.82,-0.12,-0.002,4.35
2024-04-23,1.708,1.705,1.716,1.693,4772879.0,813383060.541,1.35,0.12,0.002,4.06
2024-04-24,1.709,1.719,1.72,1.696,5444651.0,930652227.873,1.41,0.82,0.014,4.63
2024-04-25,1.71,1.716,1.73,1.7,5916390.0,1015097835.684,1.75,-0.17,-0.003,5.03
2024-04-26,1.717,1.774,1.777,1.717,10455629.0,1835092513.043,3.5,3.38,0.058,8.89
2024-04-29,1.78,1.837,1.854,1.78,12330808.0,2249887446.742,4.17,3.55,0.063,10.48
2024-04-30,1.837,1.816,1.837,1.816,7158340.0,1307150516.621,1.14,-1.14,-0.021,6.09
2024-05-06,1.852,1.853,1.863,1.846,8690891.0,1611906606.445,0.94,2.04,0.037,7.39
2024-05-07,1.851,1.85,1.857,1.844,5551162.0,1027079885.132,0.7,-0.16,-0.003,4.72
2024-05-08,1.847,1.821,1.847,1.82,5926798.0,1083975322.9,1.46,-1.57,-0.029,5.04
2024-05-09,1.828,1.856,1.86,1.828,7593648.0,1404404803.6,1.76,1.92,0.035,6.46
2024-05-10,1.858,1.84,1.859,1.829,6345733.0,1166185263.927,1.62,-0.86,-0.016,5.4
2024-05-13,1.819,1.817,1.835,1.808,5506427.0,1003162015.7,1.47,-1.25,-0.023,4.68
2024-05-14,1.821,1.813,1.831,1.809,5137245.0,933390405.971,1.21,-0.22,-0.004,4.37
2024-05-15,1.814,1.797,1.823,1.795,6397224.0,1155215878.492,1.54,-0.88,-0.016,5.44
2024-05-16,1.806,1.801,1.819,1.794,6594689.0,1191189941.165,1.39,0.22,0.004,5.61
2024-05-17,1.795,1.824,1.825,1.791,7089806.0,1282770696.493,1.89,1.28,0.023,6.03
2024-05-20,1.828,1.831,1.844,1.823,8230898.0,1508793859.48,1.15,0.38,0.007,7.0
2024-05-21,1.826,1.818,1.831,1.813,4508421.0,820583253.22,0.98,-0.71,-0.013,3.83
2024-05-22,1.819,1.839,1.842,1.814,7434674.0,1358050288.773,1.54,1.16,0.021,6.32
2024-05-23,1.837,1.811,1.837,1.807,6599889.0,1199542616.421,1.63,-1.52,-0.028,5.61
2024-05-24,1.804,1.781,1.821,1.778,6828319.0,1226193736.942,2.37,-1.66,-0.03,5.81
2024-05-27,1.784,1.792,1.793,1.762,6219239.0,1104233033.265,1.74,0.62,0.011,5.29
2024-05-28,1.784,1.769,1.789,1.766,4237288.0,752314720.067,1.28,-1.28,-0.023,3.6
2024-05-29,1.768,1.772,1.793,1.765,6817607.0,1212774231.5,1.58,0.17,0.003,5.8
2024-05-30,1.772,1.777,1.783,1.767,4575191.0,811975922.1,0.9,0.28,0.005,3.89
2024-05-31,1.781,1.772,1.794,1.77,5199314.0,926361099.15,1.35,-0.28,-0.005,4.42
2024-06-03,1.769,1.782,1.786,1.764,5534371.0,983357008.728,1.24,0.56,0.01,4.71
2024-06-04,1.778,1.806,1.812,1.777,7450205.0,1338179961.014,1.96,1.35,0.024,6.33
2024-06-05,1.805,1.796,1.821,1.796,5298417.0,958489683.728,1.38,-0.55,-0.01,4.51
2024-06-06,1.804,1.785,1.808,1.778,6577509.0,1180252981.529,1.67,-0.61,-0.011,5.59
2024-06-07,1.784,1.748,1.786,1.729,10017845.0,1757294814.554,3.19,-2.07,-0.037,8.52
2024-06-11,1.735,1.752,1.757,1.727,6034655.0,1050263762.575,1.72,0.23,0.004,5.13
2024-06-12,1.746,1.743,1.754,1.742,3943802.0,689179251.875,0.68,-0.51,-0.009,3.35
2024-06-13,1.752,1.742,1.766,1.741,7245042.0,1267620108.3,1.43,-0.06,-0.001,6.16
2024-06-14,1.745,1.756,1.762,1.726,6487355.0,1130929526.855,2.07,0.8,0.014,5.52
2024-06-17,1.746,1.768,1.775,1.743,6088884.0,1074684609.6,1.82,0.68,0.012,5.18
2024-06-18,1.769,1.776,1.785,1.766,4924351.0,874882847.353,1.07,0.45,0.008,4.19
2024-06-19,1.781,1.753,1.783,1.752,6303647.0,1108481829.85,1.75,-1.3,-0.023,5.36
2024-06-20,1.75,1.728,1.758,1.727,5944620.0,1033472874.31,1.77,-1.43,-0.025,5.05
2024-06-21,1.725,1.723,1.729,1.709,6062895.0,1042667756.0,1.16,-0.29,-0.005,5.16
2024-06-24,1.711,1.696,1.721,1.693,7359958.0,1256397081.89,1.63,-1.57,-0.027,6.26
2024-06-25,1.694,1.666,1.698,1.657,8888546.0,1489330686.87,2.42,-1.77,-0.03,7.56
2024-06-26,1.665,1.699,1.7,1.662,7668659.0,1288964861.958,2.28,1.98,0.033,6.52
2024-06-27,1.689,1.67,1.689,1.669,7214333.0,1209479321.074,1.18,-1.71,-0.029,6.13
2024-06-28,1.665,1.652,1.688,1.647,7560791.0,1261766760.664,2.46,-1.08,-0.018,6.43
2024-07-01,1.648,1.65,1.658,1.621,8680997.0,1421609502.621,2.24,-0.12,-0.002,7.38
2024-07-02,1.643,1.633,1.652,1.627,6926318.0,1134882671.728,1.52,-1.03,-0.017,5.89
2024-07-03,1.633,1.629,1.645,1.616,7416438.0,1208017829.842,1.78,-0.24,-0.004,6.31
2024-07-04,1.633,1.616,1.643,1.615,7168739.0,1165540300.32,1.72,-0.8,-0.013,6.1
2024-07-05,1.615,1.623,1.63,1.601,8138205.0,1313878495.801,1.79,0.43,0.007,6.92
2024-07-08,1.615,1.596,1.62,1.592,7936130.0,1273747612.306,1.73,-1.66,-0.027,6.75
2024-07-09,1.594,1.62,1.629,1.584,11008810.0,1768440724.248,2.82,1.5,0.024,9.36
2024-07-10,1.609,1.618,1.636,1.608,7768890.0,1262057166.9,1.73,-0.12,-0.002,6.61
2024-07-11,1.64,1.654,1.664,1.627,9657457.0,1590536255.136,2.29,2.22,0.036,8.21
2024-07-12,1.648,1.653,1.661,1.64,8332844.0,1376375909.296,1.27,-0.06,-0.001,7.09
2024-07-15,1.644,1.64,1.648,1.633,7912562.0,1297951099.874,0.91,-0.79,-0.013,6.73
2024-07-16,1.638,1.664,1.665,1.637,8758555.0,1448026915.645,1.71,1.46,0.024,7.45
2024-07-17,1.66,1.663,1.674,1.653,7834300.0,1303083812.509,1.26,-0.06,-0.001,6.66
