合约编码,交易代码,报价时间,期权类型,执行价,到期日,距离到期日天数,标的收盘价,prev_close,收盘价,日涨幅倍数
10006877,510500P2409A04200,2024-08-22,P,4.134,2024-09-25,34,4.607,0.0045,0.066,14.666666666666668
10008100,510500C2411M07000,2024-10-18,C,7.0,2024-11-27,40,5.737,0.0088,0.08,9.09090909090909
10006318,510500P2401M04900,2024-01-17,P,4.9,2024-01-24,7,5.141,0.0017,0.0139,8.176470588235293
10007853,510500C2410M05500,2024-09-26,C,5.5,2024-10-23,27,5.061,0.0049,0.0383,7.816326530612245
10008191,510500C2411M07250,2024-10-18,C,7.25,2024-11-27,40,5.737,0.0069,0.0519,7.521739130434783
10006319,510500P2401M05000,2024-01-17,P,5.0,2024-01-24,7,5.141,0.0045,0.0329,7.311111111111112
10008024,510500C2411M06500,2024-10-18,C,6.5,2024-11-27,40,5.737,0.0176,0.1284,7.295454545454544
10008193,510500C2412M07250,2024-10-18,C,7.25,2024-12-25,68,5.737,0.0105,0.0766,7.295238095238095
10008099,510500C2411M06750,2024-10-18,C,6.75,2024-11-27,40,5.737,0.0111,0.08,7.207207207207207
10008104,510500C2412M07000,2024-10-18,C,7.0,2024-12-25,68,5.737,0.015,0.095,6.333333333333334
10007753,510500C2410M05000,2024-09-24,C,5.0,2024-10-23,29,4.779,0.0054,0.0322,5.962962962962963
10007853,510500C2410M05500,2024-09-27,C,5.5,2024-10-23,26,5.493,0.0383,0.2202,5.749347258485639
10006466,510500P2401M04800,2024-01-08,P,4.8,2024-01-24,16,5.25,0.0021,0.0119,5.666666666666668
10008484,510500P2501M04900,2024-12-31,P,4.9,2025-01-22,22,5.811,0.0005,0.0028,5.6
10007259,510500C2412A06750,2024-09-27,C,6.644,2024-12-25,89,5.493,0.0108,0.0603,5.583333333333333
10007807,510500C2410M05250,2024-09-26,C,5.25,2024-10-23,27,5.061,0.0136,0.0757,5.5661764705882355
10007233,510500C2412A06500,2024-09-27,C,6.398,2024-12-25,89,5.493,0.0157,0.086,5.477707006369426
10007322,510500C2412M06250,2024-09-27,C,6.25,2024-12-25,89,5.493,0.0206,0.1119,5.432038834951456
10007752,510500C2410M04900,2024-09-24,C,4.9,2024-10-23,29,4.779,0.0109,0.0588,5.394495412844036
10006466,510500P2401M04800,2024-01-17,P,4.8,2024-01-24,7,5.141,0.0009,0.0048,5.333333333333333
10006488,510500P2401M04700,2024-01-08,P,4.7,2024-01-24,16,5.25,0.0014,0.0073,5.214285714285714
10007183,510500C2412A06250,2024-09-27,C,6.152,2024-12-25,89,5.493,0.0244,0.1228,5.032786885245901
10007807,510500C2410M05250,2024-09-24,C,5.25,2024-10-23,29,4.779,0.0016,0.008,5.0
10006318,510500P2401M04900,2024-01-08,P,4.9,2024-01-24,16,5.25,0.0039,0.0194,4.9743589743589745
10008103,510500C2412M06750,2024-10-18,C,6.75,2024-12-25,68,5.737,0.0227,0.1127,4.964757709251101
